分支,原始行号,范围,中文,ID,名称状态,来源
01 初期参考,103,武器组2,印记效果,marks5_,DSH词典待复核,
01 初期参考,104,武器组2,印记持续时间,marks15,DSH词典待复核,
01 初期参考,105,武器组2,弊病印记,marks12,DSH词典待复核,
01 初期参考,106,武器组2,印记使用速度,marks8,DSH词典待复核,
01 初期参考,107,武器组2,印记持续时间,marks13,DSH词典待复核,
01 初期参考,108,武器组2,标记敏捷,marks17,DSH词典待复核,
01 初期参考,109,武器组2,感电效果,shock3,DSH词典待复核,
01 初期参考,110,武器组2,感电效果,shock4,DSH词典待复核,
01 初期参考,111,武器组2,感电效果,shock15,DSH词典待复核,
01 初期参考,112,武器组2,疲乏,shock6,DSH词典待复核,
01 初期参考,113,武器组2,属性,dexterity85_,DSH词典待复核,
01 初期参考,114,武器组2,属性,dexterity57,DSH词典待复核,
01 初期参考,115,武器组2,敏捷,azmerianimals47,DSH词典待复核,
01 初期参考,116,武器组2,异常状态强度,azmerianimals43,DSH词典待复核,
01 初期参考,117,武器组2,异常状态强度,azmerianimals44,DSH词典待复核,
01 初期参考,118,武器组2,显贵头狼,azmerianimals48,DSH词典待复核,
01 初期参考,119,武器组2,属性,attributes74,DSH词典待复核,
01 初期参考,120,武器组2,属性,dexterity58,DSH词典待复核,
01 初期参考,121,武器组2,印记使用速度,marks32,DSH词典待复核,
01 初期参考,122,武器组2,印记效果和致盲效果,marks29,DSH词典待复核,
01 初期参考,123,武器组2,印记效果和致盲几率,marks30,DSH词典待复核,
01 初期参考,124,升华,锐眼,AscendancyRanger1Start,简体资料有来源,https://poe2db.tw/cn/Deadeye
01 初期参考,125,升华,投射物速度,AscendancyRanger1Small2,DSH词典待复核,
01 初期参考,126,升华,投射物近距离专精,AscendancyRanger1Notable2_Choice,简体资料有来源,https://poe2db.tw/cn/Projectile_Proximity_Specialisation
01 初期参考,127,升华,零点射击,AscendancyRanger1Notable2_2,简体资料有来源,https://poe2db.tw/cn/Point_Blank
01 初期参考,128,升华,投射物速度,AscendancyRanger1Small1__,DSH词典待复核,
01 初期参考,129,升华,无限弹药,AscendancyRanger1Notable1,简体资料有来源,https://poe2db.tw/cn/Endless_Munitions
01 初期参考,130,升华,技能速度,AscendancyRanger1Small3,DSH词典待复核,
01 初期参考,131,升华,聚风,AscendancyRanger1Notable3,简体资料有来源,https://poe2db.tw/cn/Gathering_Winds
01 初期参考,132,升华,投射物伤害,AscendancyRanger1Small8,DSH词典待复核,
01 初期参考,133,升华,蜃影神射,AscendancyRanger1Notable4,简体资料有来源,https://poe2db.tw/cn/Mirage_Deadeye
02 非暴击中期,1,公共,投射物伤害,projectiles15,DSH词典待复核,
02 非暴击中期,2,公共,投射物伤害,projectiles22,DSH词典待复核,
02 非暴击中期,3,公共,投射物伤害,projectiles8,DSH词典待复核,
02 非暴击中期,4,公共,投射物伤害,projectiles14,DSH词典待复核,
02 非暴击中期,5,公共,娴熟本能,ranger_huntress_notable2,简体资料有来源,https://poe2db.tw/cn/Honed_Instincts
02 非暴击中期,6,公共,投射物伤害,projectiles16,DSH词典待复核,
02 非暴击中期,7,公共,一击中的,projectiles23,DSH词典待复核,
02 非暴击中期,8,公共,投射物伤害,projectiles17,DSH词典待复核,
02 非暴击中期,9,公共,投射物伤害,ranged6,DSH词典待复核,
02 非暴击中期,10,公共,属性,dexterity19,DSH词典待复核,
02 非暴击中期,11,公共,属性,dexterity20,DSH词典待复核,
02 非暴击中期,12,公共,属性,attributes29,DSH词典待复核,
02 非暴击中期,13,公共,属性,dexterity34,DSH词典待复核,
02 非暴击中期,14,公共,驾驭元素,elemental32,DSH词典待复核,
02 非暴击中期,15,公共,元素伤害与冻结积蓄,elemental16,DSH词典待复核,
02 非暴击中期,16,公共,元素伤害与冻结积蓄,elemental26,DSH词典待复核,
02 非暴击中期,17,公共,元素伤害与冻结积蓄,elemental27,DSH词典待复核,
02 非暴击中期,18,公共,属性,dexterity40,DSH词典待复核,
02 非暴击中期,19,公共,属性,dexterity39,DSH词典待复核,
02 非暴击中期,20,公共,攻击速度,attack_speed57,DSH词典待复核,
02 非暴击中期,21,公共,灵敏连击,attack_speed60_,DSH词典待复核,
02 非暴击中期,22,公共,属性,dexterity11,DSH词典待复核,
02 非暴击中期,23,公共,属性,dexterity10,DSH词典待复核,
02 非暴击中期,24,公共,属性,dexterity5,DSH词典待复核,
02 非暴击中期,25,公共,属性,dexterity6,DSH词典待复核,
02 非暴击中期,26,公共,冻结积蓄,cold29,DSH词典待复核,
02 非暴击中期,27,公共,群山的精华,cold39__,DSH词典待复核,
02 非暴击中期,28,公共,冻结积蓄,cold28,DSH词典待复核,
02 非暴击中期,29,公共,迷踪步履,shadow_monk_notable2,简体资料有来源,https://poe2db.tw/cn/Step_Like_Mist
02 非暴击中期,30,公共,闪避和能量护盾,evasion_and_energy_shield27,DSH词典待复核,
02 非暴击中期,31,公共,机警感知,evasion_and_energy_shield35_,DSH词典待复核,
02 非暴击中期,32,公共,闪避和能量护盾,evasion_and_energy_shield26,DSH词典待复核,
02 非暴击中期,33,公共,势如流水,shadow_monk_notable1,简体资料有来源,https://poe2db.tw/cn/Flow_Like_Water
02 非暴击中期,34,公共,技能速度,attack_speed46,DSH词典待复核,
02 非暴击中期,35,公共,行云流水,attack_speed37,DSH词典待复核,
02 非暴击中期,36,公共,闪避,evasion17_,DSH词典待复核,
02 非暴击中期,37,公共,动如脱兔,evasion31,DSH词典待复核,
02 非暴击中期,38,公共,珠宝插槽,jewel_slot1960,DSH词典待复核,
02 非暴击中期,39,公共,属性,dexterity12_,DSH词典待复核,
02 非暴击中期,40,公共,元素攻击伤害,elemental_attacks6,DSH词典待复核,
02 非暴击中期,41,公共,催化反应,elemental_attacks8,DSH词典待复核,
02 非暴击中期,42,公共,属性,dexterity54,DSH词典待复核,
02 非暴击中期,43,公共,攻击伤害,attack6,DSH词典待复核,
02 非暴击中期,44,公共,攻击伤害和移动速度,attack2,DSH词典待复核,
02 非暴击中期,45,公共,属性,dexterity55,DSH词典待复核,
02 非暴击中期,46,公共,属性,dexterity82_,DSH词典待复核,
02 非暴击中期,47,公共,技能速度,movement_speed5,DSH词典待复核,
02 非暴击中期,48,公共,技能速度,movement_speed4,DSH词典待复核,
02 非暴击中期,49,公共,加速,movement_speed9,DSH词典待复核,
02 非暴击中期,50,公共,属性,dexterity52,DSH词典待复核,
02 非暴击中期,51,公共,属性,dexterity51,DSH词典待复核,
02 非暴击中期,52,公共,偏转,deflect54,DSH词典待复核,
02 非暴击中期,53,公共,偏转,deflect55,DSH词典待复核,
02 非暴击中期,54,公共,偏转,deflect56,DSH词典待复核,
02 非暴击中期,55,公共,偏转,deflect57_,DSH词典待复核,
02 非暴击中期,56,公共,受训偏转,deflect58,DSH词典待复核,
02 非暴击中期,57,公共,属性,attributes10,DSH词典待复核,
02 非暴击中期,58,公共,属性,dexterity50,DSH词典待复核,
02 非暴击中期,59,公共,闪避,evasion24_,DSH词典待复核,
02 非暴击中期,60,公共,闪避,evasion28,DSH词典待复核,
02 非暴击中期,61,公共,猛兽之肤,evasion33,简体资料有来源,https://poe2db.tw/cn/Beastial_Skin
02 非暴击中期,62,公共,偏转和闪避,evasion27,DSH词典待复核,
02 非暴击中期,63,公共,偏转和闪避,evasion22,DSH词典待复核,
02 非暴击中期,64,公共,强化反射,evasion32,DSH词典待复核,
02 非暴击中期,65,公共,闪避,evasion21,DSH词典待复核,
02 非暴击中期,66,公共,攻击冰霜伤害,cold44,DSH词典待复核,
02 非暴击中期,67,公共,攻击冰霜伤害,cold45,DSH词典待复核,
02 非暴击中期,68,公共,深度冻结,cold48,DSH词典待复核,
02 非暴击中期,69,公共,珠宝插槽,jewel_slot1976,DSH词典待复核,
02 非暴击中期,70,公共,异常状态几率,exploiting_elemental_ailments8,DSH词典待复核,
02 非暴击中期,71,公共,恶毒创伤,exploiting_elemental_ailments10,DSH词典待复核,
02 非暴击中期,72,公共,属性,dexterity38,DSH词典待复核,
02 非暴击中期,73,公共,攻击伤害和速度,attack51,DSH词典待复核,
02 非暴击中期,74,公共,攻击伤害,attack50,DSH词典待复核,
02 非暴击中期,75,公共,吸收之力,attack46,DSH词典待复核,
02 非暴击中期,76,公共,属性,dexterity36,DSH词典待复核,
02 非暴击中期,77,公共,对致盲目标伤害,blind5,DSH词典待复核,
02 非暴击中期,78,公共,对致盲目标伤害,blind7,DSH词典待复核,
02 非暴击中期,79,公共,头昏眼花,blind10,DSH词典待复核,
02 非暴击中期,80,公共,箭袋效果,quivers2,DSH词典待复核,
02 非暴击中期,81,公共,箭袋效果,quivers3,DSH词典待复核,
02 非暴击中期,82,公共,制箭大师,quivers4,DSH词典待复核,
02 非暴击中期,83,公共,强化攻击冻结积蓄,cold50,DSH词典待复核,
02 非暴击中期,84,公共,强化攻击冻结积蓄,cold49,DSH词典待复核,
02 非暴击中期,85,公共,冰雹骤降,cold51,DSH词典待复核,
02 非暴击中期,86,公共,对近期击中的闪避值,attack_speed59,DSH词典待复核,
02 非暴击中期,87,公共,闪避,azmerianimals38,DSH词典待复核,
02 非暴击中期,88,公共,偏转,azmerianimals40,DSH词典待复核,
02 非暴击中期,89,公共,偏转,azmerianimals41,DSH词典待复核,
02 非暴击中期,90,公共,荒野之豹,azmerianimals42,简体资料有来源,https://poe2db.tw/cn/The_Wild_Cat
02 非暴击中期,91,武器组1,攻击伤害,attack41__,DSH词典待复核,
02 非暴击中期,92,武器组1,攻击伤害,attack42,DSH词典待复核,
02 非暴击中期,93,武器组1,攻击伤害,attack43,DSH词典待复核,
02 非暴击中期,94,武器组1,连续攻击,attack45,DSH词典待复核,
02 非暴击中期,95,武器组1,攻击伤害,attack13_,DSH词典待复核,
02 非暴击中期,96,武器组1,攻击伤害,attack14,DSH词典待复核,
02 非暴击中期,97,武器组1,致盲打击,attack16,DSH词典待复核,
02 非暴击中期,98,武器组1,冰霜穿透,cold_penetration6,DSH词典待复核,
02 非暴击中期,99,武器组1,冰霜穿透,cold_penetration1,DSH词典待复核,
02 非暴击中期,100,武器组1,冰霜穿透,cold_penetration7,DSH词典待复核,
02 非暴击中期,101,武器组1,破雪者,cold_penetration24,DSH词典待复核,
02 非暴击中期,102,武器组1,瘫痪打击,attack5,DSH词典待复核,
02 非暴击中期,103,武器组1,捷伤害,heralds12_,DSH词典待复核,
02 非暴击中期,104,武器组1,捷伤害,heralds10,DSH词典待复核,
02 非暴击中期,105,武器组1,灾难使者,heralds16_,DSH词典待复核,
02 非暴击中期,106,武器组1,额外箭矢几率,bow19,DSH词典待复核,
02 非暴击中期,107,武器组1,额外箭矢几率,bow20,DSH词典待复核,
02 非暴击中期,108,武器组1,额外箭矢几率,bow21,DSH词典待复核,
02 非暴击中期,109,武器组1,巧手连射,bow23,DSH词典待复核,
02 非暴击中期,110,武器组1,攻击伤害,attack35,DSH词典待复核,
02 非暴击中期,111,武器组1,攻击伤害,attack36,DSH词典待复核,
02 非暴击中期,112,武器组1,元素攻击伤害,elemental54,DSH词典待复核,
02 非暴击中期,113,武器组1,元素攻击伤害,elemental55,DSH词典待复核,
02 非暴击中期,114,武器组1,原始裂解,elemental56,DSH词典待复核,
02 非暴击中期,115,武器组2,属性,dexterity81,DSH词典待复核,
02 非暴击中期,116,武器组2,属性,attributes9,DSH词典待复核,
02 非暴击中期,117,武器组2,印记效果,marks16,DSH词典待复核,
02 非暴击中期,118,武器组2,印记效果,marks5_,DSH词典待复核,
02 非暴击中期,119,武器组2,印记持续时间,marks15,DSH词典待复核,
02 非暴击中期,120,武器组2,弊病印记,marks12,DSH词典待复核,
02 非暴击中期,121,武器组2,印记使用速度,marks8,DSH词典待复核,
02 非暴击中期,122,武器组2,印记持续时间,marks13,DSH词典待复核,
02 非暴击中期,123,武器组2,标记敏捷,marks17,DSH词典待复核,
02 非暴击中期,124,武器组2,感电效果,shock3,DSH词典待复核,
02 非暴击中期,125,武器组2,感电效果,shock4,DSH词典待复核,
02 非暴击中期,126,武器组2,感电效果,shock15,DSH词典待复核,
02 非暴击中期,127,武器组2,疲乏,shock6,DSH词典待复核,
02 非暴击中期,128,武器组2,属性,dexterity85_,DSH词典待复核,
02 非暴击中期,129,武器组2,属性,dexterity57,DSH词典待复核,
02 非暴击中期,130,武器组2,敏捷,azmerianimals47,DSH词典待复核,
02 非暴击中期,131,武器组2,异常状态强度,azmerianimals43,DSH词典待复核,
02 非暴击中期,132,武器组2,异常状态强度,azmerianimals44,DSH词典待复核,
02 非暴击中期,133,武器组2,显贵头狼,azmerianimals48,DSH词典待复核,
02 非暴击中期,134,武器组2,属性,attributes74,DSH词典待复核,
02 非暴击中期,135,武器组2,属性,dexterity58,DSH词典待复核,
02 非暴击中期,136,武器组2,印记使用速度,marks32,DSH词典待复核,
02 非暴击中期,137,武器组2,印记效果和致盲效果,marks29,DSH词典待复核,
02 非暴击中期,138,武器组2,印记效果和致盲几率,marks30,DSH词典待复核,
02 非暴击中期,139,升华,锐眼,AscendancyRanger1Start,简体资料有来源,https://poe2db.tw/cn/Deadeye
02 非暴击中期,140,升华,投射物速度,AscendancyRanger1Small2,DSH词典待复核,
02 非暴击中期,141,升华,投射物近距离专精,AscendancyRanger1Notable2_Choice,简体资料有来源,https://poe2db.tw/cn/Projectile_Proximity_Specialisation
02 非暴击中期,142,升华,投射物速度,AscendancyRanger1Small1__,DSH词典待复核,
02 非暴击中期,143,升华,无限弹药,AscendancyRanger1Notable1,简体资料有来源,https://poe2db.tw/cn/Endless_Munitions
02 非暴击中期,144,升华,零点射击,AscendancyRanger1Notable2_2,简体资料有来源,https://poe2db.tw/cn/Point_Blank
02 非暴击中期,145,升华,技能速度,AscendancyRanger1Small3,DSH词典待复核,
02 非暴击中期,146,升华,聚风,AscendancyRanger1Notable3,简体资料有来源,https://poe2db.tw/cn/Gathering_Winds
02 非暴击中期,147,升华,投射物伤害,AscendancyRanger1Small8,DSH词典待复核,
02 非暴击中期,148,升华,蜃影神射,AscendancyRanger1Notable4,简体资料有来源,https://poe2db.tw/cn/Mirage_Deadeye
03 非暴击混合防御,1,公共,投射物伤害,projectiles15,DSH词典待复核,
03 非暴击混合防御,2,公共,投射物伤害,projectiles22,DSH词典待复核,
03 非暴击混合防御,3,公共,投射物伤害,projectiles8,DSH词典待复核,
03 非暴击混合防御,4,公共,投射物伤害,projectiles14,DSH词典待复核,
03 非暴击混合防御,5,公共,娴熟本能,ranger_huntress_notable2,简体资料有来源,https://poe2db.tw/cn/Honed_Instincts
03 非暴击混合防御,6,公共,投射物伤害,projectiles16,DSH词典待复核,
03 非暴击混合防御,7,公共,一击中的,projectiles23,DSH词典待复核,
03 非暴击混合防御,8,公共,投射物伤害,projectiles17,DSH词典待复核,
03 非暴击混合防御,9,公共,投射物伤害,ranged6,DSH词典待复核,
03 非暴击混合防御,10,公共,属性,dexterity19,DSH词典待复核,
03 非暴击混合防御,11,公共,属性,dexterity20,DSH词典待复核,
03 非暴击混合防御,12,公共,属性,attributes29,DSH词典待复核,
03 非暴击混合防御,13,公共,属性,dexterity34,DSH词典待复核,
03 非暴击混合防御,14,公共,驾驭元素,elemental32,DSH词典待复核,
03 非暴击混合防御,15,公共,元素伤害与冻结积蓄,elemental16,DSH词典待复核,
03 非暴击混合防御,16,公共,元素伤害与冻结积蓄,elemental26,DSH词典待复核,
03 非暴击混合防御,17,公共,元素伤害与冻结积蓄,elemental27,DSH词典待复核,
03 非暴击混合防御,18,公共,属性,dexterity40,DSH词典待复核,
03 非暴击混合防御,19,公共,属性,dexterity39,DSH词典待复核,
03 非暴击混合防御,20,公共,攻击速度,attack_speed57,DSH词典待复核,
03 非暴击混合防御,21,公共,灵敏连击,attack_speed60_,DSH词典待复核,
03 非暴击混合防御,22,公共,属性,dexterity11,DSH词典待复核,
03 非暴击混合防御,23,公共,属性,dexterity10,DSH词典待复核,
03 非暴击混合防御,24,公共,属性,dexterity5,DSH词典待复核,
03 非暴击混合防御,25,公共,属性,dexterity6,DSH词典待复核,
03 非暴击混合防御,26,公共,冻结积蓄,cold29,DSH词典待复核,
03 非暴击混合防御,27,公共,群山的精华,cold39__,DSH词典待复核,
03 非暴击混合防御,28,公共,冻结积蓄,cold28,DSH词典待复核,
03 非暴击混合防御,29,公共,迷踪步履,shadow_monk_notable2,简体资料有来源,https://poe2db.tw/cn/Step_Like_Mist
03 非暴击混合防御,30,公共,闪避和能量护盾,evasion_and_energy_shield27,DSH词典待复核,
03 非暴击混合防御,31,公共,机警感知,evasion_and_energy_shield35_,DSH词典待复核,
03 非暴击混合防御,32,公共,闪避和能量护盾,evasion_and_energy_shield26,DSH词典待复核,
03 非暴击混合防御,33,公共,势如流水,shadow_monk_notable1,简体资料有来源,https://poe2db.tw/cn/Flow_Like_Water
03 非暴击混合防御,34,公共,技能速度,attack_speed46,DSH词典待复核,
03 非暴击混合防御,35,公共,行云流水,attack_speed37,DSH词典待复核,
03 非暴击混合防御,36,公共,闪避,evasion17_,DSH词典待复核,
03 非暴击混合防御,37,公共,动如脱兔,evasion31,DSH词典待复核,
03 非暴击混合防御,38,公共,珠宝插槽,jewel_slot1960,DSH词典待复核,
03 非暴击混合防御,39,公共,属性,dexterity12_,DSH词典待复核,
03 非暴击混合防御,40,公共,元素攻击伤害,elemental_attacks6,DSH词典待复核,
03 非暴击混合防御,41,公共,催化反应,elemental_attacks8,DSH词典待复核,
03 非暴击混合防御,42,公共,属性,dexterity54,DSH词典待复核,
03 非暴击混合防御,43,公共,攻击伤害,attack6,DSH词典待复核,
03 非暴击混合防御,44,公共,攻击伤害和移动速度,attack2,DSH词典待复核,
03 非暴击混合防御,45,公共,属性,dexterity55,DSH词典待复核,
03 非暴击混合防御,46,公共,属性,dexterity82_,DSH词典待复核,
03 非暴击混合防御,47,公共,技能速度,movement_speed5,DSH词典待复核,
03 非暴击混合防御,48,公共,技能速度,movement_speed4,DSH词典待复核,
03 非暴击混合防御,49,公共,加速,movement_speed9,DSH词典待复核,
03 非暴击混合防御,50,公共,属性,dexterity52,DSH词典待复核,
03 非暴击混合防御,51,公共,属性,dexterity51,DSH词典待复核,
03 非暴击混合防御,52,公共,属性,attributes10,DSH词典待复核,
03 非暴击混合防御,53,公共,属性,dexterity50,DSH词典待复核,
03 非暴击混合防御,54,公共,闪避,evasion24_,DSH词典待复核,
03 非暴击混合防御,55,公共,闪避,evasion28,DSH词典待复核,
03 非暴击混合防御,56,公共,猛兽之肤,evasion33,简体资料有来源,https://poe2db.tw/cn/Beastial_Skin
03 非暴击混合防御,57,公共,闪避,evasion21,DSH词典待复核,
03 非暴击混合防御,58,公共,攻击冰霜伤害,cold44,DSH词典待复核,
03 非暴击混合防御,59,公共,攻击冰霜伤害,cold45,DSH词典待复核,
03 非暴击混合防御,60,公共,深度冻结,cold48,DSH词典待复核,
03 非暴击混合防御,61,公共,珠宝插槽,jewel_slot1976,DSH词典待复核,
03 非暴击混合防御,62,公共,属性,dexterity38,DSH词典待复核,
03 非暴击混合防御,63,公共,攻击伤害和速度,attack51,DSH词典待复核,
03 非暴击混合防御,64,公共,攻击伤害,attack50,DSH词典待复核,
03 非暴击混合防御,65,公共,吸收之力,attack46,DSH词典待复核,
03 非暴击混合防御,66,公共,属性,dexterity36,DSH词典待复核,
03 非暴击混合防御,67,公共,对致盲目标伤害,blind5,DSH词典待复核,
03 非暴击混合防御,68,公共,对致盲目标伤害,blind7,DSH词典待复核,
03 非暴击混合防御,69,公共,头昏眼花,blind10,DSH词典待复核,
03 非暴击混合防御,70,公共,箭袋效果,quivers2,DSH词典待复核,
03 非暴击混合防御,71,公共,箭袋效果,quivers3,DSH词典待复核,
03 非暴击混合防御,72,公共,制箭大师,quivers4,DSH词典待复核,
03 非暴击混合防御,73,公共,强化攻击冻结积蓄,cold50,DSH词典待复核,
03 非暴击混合防御,74,公共,强化攻击冻结积蓄,cold49,DSH词典待复核,
03 非暴击混合防御,75,公共,冰雹骤降,cold51,DSH词典待复核,
03 非暴击混合防御,76,公共,闪避和能量护盾,evasion_and_energy_shield17,DSH词典待复核,
03 非暴击混合防御,77,公共,光芒万丈,evasion_and_energy_shield15,DSH词典待复核,
03 非暴击混合防御,78,公共,闪避和能量护盾,evasion_and_energy_shield16,DSH词典待复核,
03 非暴击混合防御,79,公共,闪避和能量护盾,evasion_and_energy_shield10,DSH词典待复核,
